runtime:  8.16 s
FOM:  1542.80 MLUPS
FOM:  2242.28 MLUPS
FOM:  2357.02 MLUPS
FOM:  70.46 MLUPS
FOM:  4.61 MLUPS
FOM:  2.60 MLUPS
FOM:  1.04 MLUPS
FOM:  5.24 MLUPS
FOM:  5.29 MLUPS
FOM:  222.97 MLUPS
FOM:  5.11 MLUPS
FOM:  5.18 MLUPS
FOM:  5.30 MLUPS
FOM:  76.17 MLUPS
FOM:  76.15 MLUPS
FOM:  51.39 MLUPS
FOM:  78.98 MLUPS
FOM:  92.29 MLUPS
FOM:  90.92 MLUPS
FOM:  5.49 MLUPS
FOM:  5.30 MLUPS
FOM:  5.16 MLUPS
FOM:  92.69 MLUPS
FOM:  76.40 MLUPS
FOM:  75.51 MLUPS
FOM:  2606.67 MLUPS
FOM:  2417.32 MLUPS
FOM:  2453.62 MLUPS
FOM:  2587.16 MLUPS
FOM:  2535.71 MLUPS
FOM:  91.06 MLUPS
FOM:  2484.49 MLUPS
FOM:  2626.20 MLUPS
FOM:  2250.12 MLUPS
FOM:  102.66 MLUPS
FOM:  2880.65 MLUPS
FOM:  2354.18 MLUPS
FOM:  2685.51 MLUPS
FOM:  2663.85 MLUPS
FOM:  2869.83 MLUPS
FOM:  2866.17 MLUPS
FOM:  1266.70 MLUPS
FOM:  2755.92 MLUPS
FOM:  2806.01 MLUPS
FOM:  2550.10 MLUPS
